Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
OPTT,Ocean Power Technologies Inc. Common Stock,$2.295,-0.075,-3.165%,117012319.00,United States,2007,773557,,
ORLA,Orla Mining Ltd. Common Shares,$4.135,-0.045,-1.077%,982835848.00,,2020,287278,Basic Industries,Precious Metals
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$29.25,0.35,1.211%,,United States,,574,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$26.62,-0.275,-1.022%,,United States,,500,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$27.65,0.00,0.00%,,United States,,1,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$24.468,-0.112,-0.456%,,United States,,495,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$23.71,-0.01,-0.042%,,United States,,501,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$22.10,0.00,0.00%,,United States,,40,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$22.90,0.00,0.00%,,United States,,120,,
PED,Pedevco Corp. Common Stock,$1.51,0.07,4.861%,119987021.00,United States,,146995,,
PHGE,BiomX Inc. COmmon Stock,$5.36,0.02,0.375%,130391214.00,,2019,12337,Health Care,Major Pharmaceuticals
PLAG,Planet Green Holdings Corp. Common Stock,$1.6804,0.0704,4.373%,40346286.00,China,,217002,,
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$3.5994,0.0794,2.256%,266486665.00,Canada,,409988,Basic Industries,Precious Metals
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$3.88,0.11,2.918%,391404002.00,Canada,,174692,Basic Industries,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.905,-0.095,-4.75%,86454293.00,Israel,,1667161,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$26.7733,0.0932,0.349%,,United States,,100,,
